,ageEstimate,companyFollowerCount,companyHasLogo,companyName,companyStaffCount,companyUrl,companyUrn,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,mbrLocation,mbrLocationCode,mbrTitle,memberUrn,posLocation,posLocationCode,posTitle,positionId,startDate,avgMemberPosDuration,avgCompanyPosDuration,,,,,,,,,,,,,,
32,42,3081546,374c4984-7ad5-45c1-8218-0a3dbee38116-2.png,Nestl?,160863,http://www.nestle.com,urn:li:company:1393,500,au,12/1/2010,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Lausanne Area, Switzerland","urn:li:fs_region:(ch,4932)",Talent Services Lead,32372,1/1/2009,673.3571,937.3309,,,,,,,,,,,,,,
33,42,1273365,88e99489-058f-4e0d-ae5b-e145405b82cb-2.png,Novartis,121437,http://www.novartis.com,urn:li:company:1406,500,au,12/1/2009,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Basel Area, Switzerland","urn:li:fs_region:(ch,4928)",Talent Lead,32373,1/1/2009,673.3571,919.0666,,,,,,,,,,,,,,
34,42,97135,f7fab62c-9534-4dde-baa0-a0ed6c40c013-2.png,Ciber Global,4564,http://www.ciber.com/,urn:li:company:157295,500,au,12/1/2009,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Eindhoven Area, Netherlands","urn:li:fs_region:(nl,5668)",EMEA Talent Lead,32374,1/1/2008,673.3571,927.1518,,,,,,,,,,,,,,
35,42,1190501,6607125a-3a7f-4129-945f-e3d9626e1962-2.png,GSK,91629,http://www.gsk.com,urn:li:company:1399,500,au,12/1/2008,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"London, United Kingdom","urn:li:fs_region:(gb,4573)",UK Talent Lead,32375,1/1/2007,673.3571,1003.5133,,,,,,,,,,,,,,
36,42,1189220,cd528437-bc25-495b-8ad2-3c5f438175fd-2.png,SAP,118819,http://www.sap.com,urn:li:company:1115,500,au,12/1/2007,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"London, United Kingdom","urn:li:fs_region:(gb,4573)",Recruitment Lead,32376,1/1/2006,673.3571,948.9996,,,,,,,,,,,,,,
37,42,25021,655781e6-d6c6-4237-aa17-0d91f76d7742-2.png,HCL AXON,3059,http://www.hcltech.com/enterprise-application-services,urn:li:company:5254,500,au,12/1/2006,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"London, United Kingdom",,Key Account Manager,32377,1/1/2005,673.3571,959.9438,,,,,,,,,,,,,,
38,42,9983,39165b77-2176-420e-abcf-bb38f9fcd2d8-2.png,RZ Group,140,http://www.rzgroup.co.uk,urn:li:company:21883,500,au,12/1/2005,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Edinburgh, United Kingdom","urn:li:fs_region:(gb,4574)",Senior Account Manager,32378,1/1/2003,673.3571,535.1429,,,,,,,,,,,,,,
39,42,5906,2cef8ad0-d0b8-4374-8c3f-f806b9b927bb-2.png,Creative Personnel,55,http://www.creativepersonnel.co.uk,urn:li:company:51370,500,au,12/1/2002,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"London, United Kingdom","urn:li:fs_region:(gb,4573)",Recruitment Consultant,32379,1/1/2001,673.3571,464,,,,,,,,,,,,,,
40,48,98763,d49c115d-c8f2-4ca2-9e27-1cf1e534796f-2.png,Deloitte Australia,6533,http://www.deloitte.com.au,urn:li:company:8810,500,au,,1,4247,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Partner | Advisory | Operations Transformation,urn:li:member:1002879,"Sydney, Australia",,Partner | Consulting | Future of Government,33196,5/1/2017,1052.9,789.6119,,,,,,,,,,,,,,
41,48,13694,e6279974-1b84-4a43-95ef-40e3518f6c93-2.png,Grant Thornton Australia,1255,http://www.grantthornton.com.au,urn:li:company:462735,500,au,4/1/2017,1,4247,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Partner | Advisory | Operations Transformation,urn:li:member:1002879,"Sydney, Australia",,Partner | Growth Advisory,33197,6/1/2012,1052.9,849.8281,,,,,,,,,,,,,,
42,48,13694,e6279974-1b84-4a43-95ef-40e3518f6c93-2.png,Grant Thornton Australia,1255,http://www.grantthornton.com.au,urn:li:company:462735,500,au,6/1/2012,1,4247,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Partner | Advisory | Operations Transformation,urn:li:member:1002879,"Sydney, Australia",,Director | Consulting,33198,11/1/2010,1052.9,849.8281,,,,,,,,,,,,,,
43,48,1660685,29d0cf7c-b0fb-4b48-8f99-244b7271c90a-2.png,PwC,235683,http://www.pwc.com,urn:li:company:1044,500,au,11/1/2010,1,4247,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Partner | Advisory | Operations Transformation,urn:li:member:1002879,"Sydney, Australia",,Management Consultant | People & Change,33199,2/1/2005,1052.9,1214.539,,,,,,,,,,,,,,
44,48,151686,71b7f012-183c-43c8-a9af-b39a1b9a89a0-2.png,National Australia Bank,27944,http://www.nab.com.au,urn:li:company:2357,500,au,2/1/2005,1,4247,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Partner | Advisory | Operations Transformation,urn:li:member:1002879,"Sydney, Australia",,Business Partner | People & Culture,33200,2/1/2003,1052.9,941.0968,,,,,,,,,,,,,,
